year,title,test,binary,budget,domgross,intgross,budget_2026$,domgross_2026$,intgross_2026$
2013,21 &amp; Over,notalk,FAIL,13000000,25682380,42195766,18070000,35698508,58652115
2012,Dredd 3D,ok,PASS,45000000,13414714,40868994,63465642,18919410,57639487
2013,12 Years a Slave,notalk,FAIL,20000000,53107035,158607035,27800000,73818779,220463779
2013,2 Guns,notalk,FAIL,61000000,75612460,132493015,84790000,105101319,184165291
2013,42,men,FAIL,40000000,95020213,95020213,55600000,132078096,132078096
2013,47 Ronin,men,FAIL,225000000,38362475,145803842,312750000,53323840,202667340
2013,A Good Day to Die Hard,notalk,FAIL,92000000,67349198,304249198,127880000,93615385,422906385
2013,About Time,ok,PASS,12000000,15323921,87324746,16680000,21300250,121381397
2013,Admission,ok,PASS,13000000,18007317,18007317,18070000,25030171,25030171
2013,After Earth,notalk,FAIL,130000000,60522097,244373198,180700000,84125715,339678745
2013,American Hustle,ok,PASS,40000000,148430908,249484909,55600000,206318962,346784024
2013,August: Osage County,ok,PASS,25000000,37304874,50304874,34750000,51853775,69923775
2013,Beautiful Creatures,ok,PASS,50000000,19452138,55940671,69500000,27038472,77757533
2013,Blue Jasmine,ok,PASS,18000000,33345833,68447831,25020000,46350708,95142485
2013,Captain Phillips,notalk,FAIL,55000000,107136417,218743570,76450000,148919620,304053562
2013,Carrie,ok,PASS,30000000,35266619,85001659,41700000,49020600,118152306
2013,Cloudy with a Chance of Meatballs 2,nowomen,FAIL,78000000,119640264,271725448,108420000,166299967,377698373
2013,Despicable Me 2,ok,PASS,76000000,368065385,970766005,105640000,511610885,1349364747
2013,Don Jon,dubious,FAIL,5500000,24477704,26377704,7645000,34024009,36665009
2013,Elysium,ok,PASS,120000000,93050117,286192091,166800000,129339663,397807006
2013,Ender&#39;s Game,men,FAIL,110000000,61737191,89737191,152900000,85814695,124734695
2013,Epic,ok,PASS,100000000,107518682,268418682,139000000,149450968,373101968
2013,Escape from Planet Earth,ok,PASS,40000000,57012977,66454811,55600000,79248038,92372187
2013,Escape Plan,men,FAIL,70000000,25213103,103813103,97300000,35046213,144300213
2013,Evil Dead,ok,PASS,17000000,54239856,97402049,23630000,75393400,135388848
2013,Fast and Furious 6,ok,PASS,160000000,238679850,788128122,222400000,331764992,1095498090
2013,Frozen,ok,PASS,150000000,393050114,1004550114,208500000,546339658,1396324658
2013,G.I. Joe: Retaliation,ok,PASS,140000000,122523060,371923060,194600000,170307053,516973053
2013,Gangster Squad,notalk,FAIL,60000000,46000903,104100903,83400000,63941255,144700255
2013,Gloria,ok,PASS,30000000,4167493,4967493,41700000,5792815,6904815
2013,Gravity,nowomen,FAIL,110000000,271814796,708714796,152900000,377822566,985113566
2013,Grown Ups 2,men,FAIL,80000000,133668525,247023808,111200000,185799250,343363093
2013,Hansel &amp; Gretel: Witch Hunters,ok,PASS,50000000,55703475,225703475,69500000,77427830,313727830
2013,Her,men,FAIL,23000000,25000178,33029713,31970000,34750247,45911301
2013,Identity Thief,men,FAIL,35000000,134506920,176269721,48650000,186964619,245014912
2013,Insidious: Chapter 2,men,FAIL,5000000,83586447,161911222,6950000,116185161,225056599
2013,Iron Man 3,dubious,FAIL,200000000,408992272,1212692272,278000000,568499258,1685642258
2013,Jack the Giant Slayer,nowomen,FAIL,195000000,65187603,197387603,271050000,90610768,274368768
2013,Kick-Ass 2,ok,PASS,28000000,28795985,60839197,38920000,40026419,84566484
2013,Last Vegas,notalk,FAIL,28000000,63914167,112914167,38920000,88840692,156950692
2013,Lee Daniels&#39; The Butler,ok,PASS,30000000,116632095,151513429,41700000,162118612,210603666
2013,Machete Kills,ok,PASS,2000000,8008161,9408161,2780000,11131344,13077344
2013,Mama,ok,PASS,15000000,71628180,148041253,20850000,99563170,205777342
2013,Man of Steel,ok,PASS,225000000,291045518,687999518,312750000,404553270,956319330
2013,Nebraska,ok,PASS,12000000,17482517,17482517,16680000,24300699,24300699
2013,Now You See Me,notalk,FAIL,75000000,117723989,351723989,104250000,163636345,488896345
2013,Oblivion,men,FAIL,120000000,89107235,287537983,166800000,123859057,399677796
2013,Olympus Has Fallen,notalk,FAIL,70000000,98927592,150562164,97300000,137509353,209281408
2013,Oz the Great and Powerful,ok,PASS,200000000,234770996,489570996,278000000,326331684,680503684
2013,Pacific Rim,notalk,FAIL,190000000,101802906,411002906,264100000,141506039,571294039
2013,Pain &amp; Gain,notalk,FAIL,26000000,49875291,81275291,36140000,69326654,112972654
2013,Parker,ok,PASS,35000000,17616641,46346651,48650000,24487131,64421845
2013,Peeples,dubious,FAIL,15000000,9177065,9177065,20850000,12756120,12756120
2013,Percy Jackson: Sea of Monsters,ok,PASS,90000000,68559554,200859554,125100000,95297780,279194780
2013,Prisoners,ok,PASS,46000000,61002302,113402302,63940000,84793200,157629200
2013,R.I.P.D.,notalk,FAIL,130000000,33618855,79019947,180700000,46730208,109837726
2013,Red 2,ok,PASS,84000000,53262560,137162560,116760000,74034958,190655958
2013,Riddick,notalk,FAIL,38000000,42025135,92425135,52820000,58414938,128470938
2013,Runner Runner,nowomen,FAIL,30000000,19316646,62616646,41700000,26850138,87037138
2013,Rush,notalk,FAIL,38000000,26947624,43047624,52820000,37457197,59836197
2013,Safe Haven,ok,PASS,28000000,71399120,93943623,38920000,99244777,130581636
2013,Saving Mr. Banks,ok,PASS,35000000,82834332,100734332,48650000,115139721,140020721
2013,Side Effects,ok,PASS,30000000,32172757,60288363,41700000,44720132,83800825
2013,Star Trek Into Darkness,notalk,FAIL,190000000,228778661,466978661,264100000,318002339,649100339
2013,Texas Chainsaw 3D,ok,PASS,20000000,34341945,39093317,27800000,47735304,54339711
2013,The Big Wedding,ok,PASS,32500000,21819348,35770721,45175000,30328894,49721302
2013,The Book Thief,ok,PASS,19000000,21345525,62045525,26410000,29670280,86243280
2013,The Call,ok,PASS,13000000,51872378,58938768,18070000,72102605,81924888
2013,The Conjuring,ok,PASS,20000000,137400141,318000141,27800000,190986196,442020196
2013,The Counselor,ok,PASS,25000000,16973715,70373715,34750000,23593464,97819464
2013,The Croods,men,FAIL,135000000,187168425,573068425,187650000,260164111,796565111
2013,The Family,men,FAIL,30000000,36918811,51078541,41700000,51317147,70999172
2013,The Fifth Estate,notalk,FAIL,26000000,3254172,6154172,36140000,4523299,8554299
2013,The Frozen Ground,nowomen,FAIL,19200000,#N/A,#N/A,26688000,#N/A,#N/A
2013,The Great Gatsby,dubious,FAIL,190000000,144840419,351040419,264100000,201328182,487946182
2013,The Hangover part 3,men,FAIL,103000000,112200072,362000072,143170000,155958100,503180100
2013,The Heat,ok,PASS,43000000,159581587,230781587,59770000,221818406,320786406
2013,The Hobbit: The Desolation of Smaug,notalk,FAIL,250000000,257397516,937397516,347500000,357782547,1302982547
2013,The Host,dubious,FAIL,50000000,26623701,58188384,69500000,37006944,80881854
2013,The Hunger Games: Catching Fire,ok,PASS,130000000,424088260,857088260,180700000,589482681,1191352681
2013,The Incredible Burt Wonderstone,notalk,FAIL,32000000,22537881,24255957,44480000,31327655,33715780
2013,The Internship,notalk,FAIL,58000000,44672764,93672764,80620000,62095142,130205142
2013,The Last Exorcism Part II,ok,PASS,4000000,15179303,18541236,5560000,21099231,25772318
2013,The Lone Ranger,notalk,FAIL,275000000,89289910,259989910,382250000,124112975,361385975
2013,The Mortal Instruments: City of Bones,ok,PASS,60000000,31165421,75965567,83400000,43319935,105592138
2013,The Purge,dubious,FAIL,3000000,64473115,91100541,4170000,89617630,126629752
2013,The Smurfs 2,ok,PASS,110000000,71017784,348545841,152900000,98714720,484478719
